REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
South Dakota,2012,40,X,0.867285,43,19,4958
Tennessee,2012,40,X,0.4004,44,50,10989
Texas,2012,40,X,1.98396,794,62,40021
Utah,2012,40,X,1.36854,227,42,16587
Vermont,2012,40,X,1.31105,40,10,3051
Virginia,2012,40,X,1.24717,924,98,74088
Washington,2012,40,X,0.527558,38,18,7203
West Virginia,2012,40,X,0.358171,51,32,14239
Wisconsin,2012,40,X,0.803627,39,34,4853
Wyoming,2012,40,X,0.561915,27,26,4805
Virgin Islands,2012,40,X,0.20284,1,1,493
New York City,2012,40,X,1.45904,1453,84,99586
Alabama,2012,41,X,1.98826,288,34,14485
Alaska,2012,41,X,0.847035,17,7,2007
Arizona,2012,41,X,0.787402,136,33,17272
Arkansas,2012,41,X,0.580955,23,20,3959
California,2012,41,X,2.26502,781,123,34481
Colorado,2012,41,X,0.555582,115,11,20699
Connecticut,2012,41,X,0.331744,16,18,4823
Delaware,2012,41,X,0.268998,8,10,2974
District of Columbia,2012,41,X,3.72421,74,2,1987
Florida,2012,41,X,X,X,X,X
Georgia,2012,41,X,1.16844,308,41,26360
Hawaii,2012,41,X,1.44613,173,19,11963
Idaho,2012,41,X,1.03135,50,11,4848
Illinois,2012,41,X,1.69269,734,83,43363
Indiana,2012,41,X,0.646532,70,42,10827
Iowa,2012,41,X,0.21106,5,10,2369
Kansas,2012,41,X,0.752519,62,37,8239
Kentucky,2012,41,X,0.203549,39,15,19160
Louisiana,2012,41,X,2.88909,677,39,23433
Maine,2012,41,X,0.809474,54,35,6671
Maryland,2012,41,X,1.22244,117,15,9571
Massachusetts,2012,41,X,0.721036,177,50,24548
Michigan,2012,41,X,0.923707,158,58,17105
Minnesota,2012,41,X,0.483092,24,15,4968
Mississippi,2012,41,X,3.53982,504,44,14238
Missouri,2012,41,X,1.15393,103,27,8926
Montana,2012,41,X,0.148976,4,10,2685
Nebraska,2012,41,X,2.66876,85,14,3185
Nevada,2012,41,X,0.474664,77,36,16222
New Hampshire,2012,41,X,0.121242,5,25,4124
New Jersey,2012,41,X,1.70536,83,17,4867
New Mexico,2012,41,X,1.48361,134,26,9032
New York,2012,41,X,0.572891,94,213,16408
North Carolina,2012,41,X,0.615732,120,61,19489
North Dakota,2012,41,X,1.35952,18,9,1324
Ohio,2012,41,X,0.754795,109,40,14441
Oklahoma,2012,41,X,2.38773,109,20,4565
Oregon,2012,41,X,0.753693,25,15,3317
Pennsylvania,2012,41,X,0.870406,171,62,19646
Rhode Island,2012,41,X,0.163339,9,20,5510
South Carolina,2012,41,X,0.319978,23,19,7188
South Dakota,2012,41,X,1.07613,54,19,5018
Tennessee,2012,41,X,0.492271,50,48,10157
Texas,2012,41,X,2.35146,951,61,40443
Utah,2012,41,X,1.24436,207,43,16635
Vermont,2012,41,X,1.24633,34,10,2728
Virginia,2012,41,X,1.36244,995,98,73031
Washington,2012,41,X,0.527774,40,19,7579
West Virginia,2012,41,X,0.505306,70,30,13853
Wisconsin,2012,41,X,0.686253,32,34,4663
Wyoming,2012,41,X,0.800493,39,26,4872
Virgin Islands,2012,41,X,0.462963,2,1,432
New York City,2012,41,X,1.58339,1555,84,98207
Alabama,2012,42,X,1.70858,265,35,15510
Alaska,2012,42,X,0.986278,23,9,2332
Arizona,2012,42,X,0.977281,194,34,19851
Arkansas,2012,42,X,0.649734,33,20,5079
California,2012,42,X,2.35697,840,126,35639
Colorado,2012,42,X,0.465602,98,11,21048
Connecticut,2012,42,X,0.536643,32,21,5963
Delaware,2012,42,X,0.298013,9,10,3020
District of Columbia,2012,42,X,3.27949,67,2,2043
Florida,2012,42,X,X,X,X,X
Georgia,2012,42,X,1.04194,278,42,26681
Hawaii,2012,42,X,1.24869,179,20,14335
Idaho,2012,42,X,0.920999,45,11,4886
Illinois,2012,42,X,1.71016,789,86,46136
Indiana,2012,42,X,0.715717,75,42,10479
Iowa,2012,42,X,0.40833,10,10,2449
Kansas,2012,42,X,1.09511,92,36,8401
Kentucky,2012,42,X,0.112327,23,15,20476
Louisiana,2012,42,X,2.65559,681,39,25644
Maine,2012,42,X,0.697181,46,34,6598
Maryland,2012,42,X,0.974202,108,16,11086
Massachusetts,2012,42,X,1.04728,301,48,28741
Michigan,2012,42,X,1.00627,167,58,16596
Minnesota,2012,42,X,0.556816,27,13,4849
Mississippi,2012,42,X,3.8453,518,43,13471
Missouri,2012,42,X,1.59635,140,28,8770
Montana,2012,42,X,0.17325,5,10,2886
Nebraska,2012,42,X,2.52572,81,14,3207
Nevada,2012,42,X,0.600396,97,37,16156
New Hampshire,2012,42,X,0.0763942,4,30,5236
New Jersey,2012,42,X,1.39434,71,19,5092
New Mexico,2012,42,X,1.10806,105,26,9476
New York,2012,42,X,1.00283,156,211,15556
North Carolina,2012,42,X,0.743172,154,63,20722
North Dakota,2012,42,X,0.855513,9,8,1052
Ohio,2012,42,X,0.864975,136,44,15723
Oklahoma,2012,42,X,1.23648,56,20,4529
Oregon,2012,42,X,0.774749,27,17,3485
Pennsylvania,2012,42,X,1.10987,219,62,19732
Rhode Island,2012,42,X,0.273185,19,20,6955
South Carolina,2012,42,X,0.400475,27,18,6742
South Dakota,2012,42,X,1.20384,59,19,4901
Tennessee,2012,42,X,1.13016,118,49,10441
Texas,2012,42,X,1.94499,768,63,39486
Utah,2012,42,X,1.54044,239,43,15515
Vermont,2012,42,X,1.29636,36,9,2777
Virginia,2012,42,X,1.34905,968,97,71754
Washington,2012,42,X,0.657718,49,19,7450
West Virginia,2012,42,X,0.569095,85,34,14936
Wisconsin,2012,42,X,0.429092,20,33,4661
Wyoming,2012,42,X,0.701344,36,27,5133
Virgin Islands,2012,42,X,0.585938,3,1,512
New York City,2012,42,X,1.62795,1691,89,103873
Alabama,2012,43,X,1.564,261,36,16688
Alaska,2012,43,X,1.17493,27,9,2298
Arizona,2012,43,X,0.767786,139,31,18104
Arkansas,2012,43,X,0.94605,37,18,3911
California,2012,43,X,2.37177,812,122,34236
Colorado,2012,43,X,0.490101,101,11,20608
Connecticut,2012,43,X,0.435584,26,20,5969
Delaware,2012,43,X,0.456621,15,10,3285
District of Columbia,2012,43,X,4.59653,90,2,1958
Florida,2012,43,X,X,X,X,X
Georgia,2012,43,X,1.24957,364,46,29130
Hawaii,2012,43,X,1.40326,198,20,14110
Idaho,2012,43,X,0.598205,30,11,5015
Illinois,2012,43,X,1.72181,765,83,44430
Indiana,2012,43,X,0.506139,54,42,10669
Iowa,2012,43,X,0.571895,14,10,2448
Kansas,2012,43,X,0.793454,64,36,8066
Kentucky,2012,43,X,0.0972479,20,15,20566
Louisiana,2012,43,X,3.26236,809,41,24798
Maine,2012,43,X,0.655308,45,33,6867
Maryland,2012,43,X,0.609756,87,17,14268
Massachusetts,2012,43,X,0.700902,199,50,28392
Michigan,2012,43,X,0.770931,136,59,17641
Minnesota,2012,43,X,0.598555,29,14,4845
Mississippi,2012,43,X,4.11831,550,43,13355
Missouri,2012,43,X,1.38299,114,28,8243
Montana,2012,43,X,0.0769231,2,8,2600
Nebraska,2012,43,X,3.18166,93,12,2923
Nevada,2012,43,X,0.821041,118,36,14372
New Hampshire,2012,43,X,0.148841,7,28,4703
New Jersey,2012,43,X,1.45544,113,20,7764
New Mexico,2012,43,X,1.49184,127,24,8513
New York,2012,43,X,0.778846,124,206,15921
North Carolina,2012,43,X,0.828717,181,65,21841
North Dakota,2012,43,X,0.823353,11,10,1336
Ohio,2012,43,X,0.863508,119,40,13781
Oklahoma,2012,43,X,1.80451,72,18,3990
Oregon,2012,43,X,0.708383,24,16,3388
Pennsylvania,2012,43,X,0.969937,201,64,20723
Rhode Island,2012,43,X,0.388408,26,20,6694
South Carolina,2012,43,X,0.251326,18,17,7162
South Dakota,2012,43,X,0.645552,32,19,4957
Tennessee,2012,43,X,0.945958,108,51,11417
Texas,2012,43,X,2.55229,981,62,38436
Utah,2012,43,X,1.39703,236,43,16893
Vermont,2012,43,X,1.09117,31,10,2841
Virginia,2012,43,X,1.43984,1037,97,72022
Washington,2012,43,X,0.63963,47,19,7348
West Virginia,2012,43,X,0.453899,67,33,14761
Wisconsin,2012,43,X,0.548176,26,35,4743
Wyoming,2012,43,X,0.691338,34,27,4918
Virgin Islands,2012,43,X,0.423729,2,1,472
New York City,2012,43,X,1.70925,1750,85,102384
Alabama,2012,44,X,1.71254,275,35,16058
Alaska,2012,44,X,1.37533,31,9,2254
Arizona,2012,44,X,1.0733,193,32,17982
Arkansas,2012,44,X,0.336178,13,19,3867
California,2012,44,X,2.45736,853,119,34712
Colorado,2012,44,X,0.59501,124,10,20840
Connecticut,2012,44,X,0.593168,29,20,4889
Delaware,2012,44,X,0.239349,5,10,2089
District of Columbia,2012,44,X,3.64146,52,2,1428
Florida,2012,44,X,X,X,X,X
Georgia,2012,44,X,1.29223,384,47,29716
Hawaii,2012,44,X,1.25823,170,20,13511
Idaho,2012,44,X,1.09622,54,11,4926
Illinois,2012,44,X,1.89033,836,83,44225
Indiana,2012,44,X,0.6508,70,42,10756
Iowa,2012,44,X,0.686591,17,10,2476
Kansas,2012,44,X,1.6104,135,37,8383
Kentucky,2012,44,X,0.0440831,9,15,20416
Louisiana,2012,44,X,3.3036,837,39,25336
Maine,2012,44,X,0.702751,47,33,6688
Maryland,2012,44,X,1.36444,93,15,6816
Massachusetts,2012,44,X,0.7902,189,49,23918
Michigan,2012,44,X,1.13607,177,57,15580
Minnesota,2012,44,X,0.765358,38,13,4965
Mississippi,2012,44,X,4.32281,571,42,13209
Missouri,2012,44,X,1.38699,132,26,9517
Montana,2012,44,X,0.188182,5,9,2657
Nebraska,2012,44,X,3.04601,94,15,3086
Nevada,2012,44,X,0.527619,81,35,15352
New Hampshire,2012,44,X,0.145702,6,27,4118
New Jersey,2012,44,X,1.27737,49,18,3836
New Mexico,2012,44,X,1.19628,108,26,9028
New York,2012,44,X,0.633484,84,205,13260
North Carolina,2012,44,X,1.08348,210,62,19382
North Dakota,2012,44,X,0.627803,7,8,1115
Ohio,2012,44,X,0.804787,117,42,14538
Oklahoma,2012,44,X,1.68478,62,18,3680
Oregon,2012,44,X,0.801233,26,16,3245
Pennsylvania,2012,44,X,1.25516,213,63,16970
Rhode Island,2012,44,X,0.1693,9,20,5316
South Carolina,2012,44,X,0.246609,18,19,7299
South Dakota,2012,44,X,1.08809,52,19,4779
Tennessee,2012,44,X,1.13824,131,54,11509
Texas,2012,44,X,2.7858,1080,63,38768
Utah,2012,44,X,1.82982,303,43,16559
Vermont,2012,44,X,0.993861,34,11,3421
Virginia,2012,44,X,1.61346,1032,96,63962
Washington,2012,44,X,0.851955,61,19,7160
West Virginia,2012,44,X,0.474842,52,32,10951
Wisconsin,2012,44,X,0.351453,15,31,4268
Wyoming,2012,44,X,0.771417,38,27,4926
Virgin Islands,2012,44,X,0.223714,1,1,447
New York City,2012,44,X,1.82661,1450,72,79382
Alabama,2012,45,X,2.11597,335,34,15832
Alaska,2012,45,X,1.32979,25,8,1880
Arizona,2012,45,X,1.10721,224,34,20231
Arkansas,2012,45,X,0.522689,22,20,4209
California,2012,45,X,2.56157,909,120,35486
Colorado,2012,45,X,0.633262,137,10,21634
Connecticut,2012,45,X,0.738451,43,20,5823
Delaware,2012,45,X,0.457516,14,10,3060
District of Columbia,2012,45,X,4.85437,95,2,1957
Florida,2012,45,X,X,X,X,X
Georgia,2012,45,X,1.82259,587,47,32207
Hawaii,2012,45,X,1.3894,190,21,13675
Idaho,2012,45,X,1.37957,72,11,5219
Illinois,2012,45,X,2.02857,923,85,45500
Indiana,2012,45,X,1.00503,102,41,10149
Iowa,2012,45,X,0.868233,17,11,1958
Kansas,2012,45,X,1.11566,98,38,8784
Kentucky,2012,45,X,0.128021,25,15,19528
Louisiana,2012,45,X,4.23698,1175,45,27732
Maine,2012,45,X,0.823677,59,36,7163
Maryland,2012,45,X,1.187,126,17,10615
Massachusetts,2012,45,X,0.657702,180,51,27368
Michigan,2012,45,X,1.01608,170,57,16731
Minnesota,2012,45,X,0.730519,36,14,4928
Mississippi,2012,45,X,5.37964,649,41,12064
Missouri,2012,45,X,2.01608,168,28,8333
Montana,2012,45,X,0.120822,3,9,2483
Nebraska,2012,45,X,1.92698,57,15,2958
Nevada,2012,45,X,0.593159,90,34,15173
New Hampshire,2012,45,X,0.166632,8,28,4801
New Jersey,2012,45,X,1.80709,80,19,4427
New Mexico,2012,45,X,1.68618,157,26,9311
New York,2012,45,X,0.832931,138,209,16568
North Carolina,2012,45,X,1.48342,318,64,21437
North Dakota,2012,45,X,1.48213,17,8,1147
Ohio,2012,45,X,0.923037,142,44,15384
Oklahoma,2012,45,X,1.76421,63,18,3571
Oregon,2012,45,X,0.662252,23,17,3473
Pennsylvania,2012,45,X,1.16348,235,63,20198
Rhode Island,2012,45,X,0.195754,13,20,6641
South Carolina,2012,45,X,0.39693,30,19,7558
South Dakota,2012,45,X,0.952381,47,19,4935
Tennessee,2012,45,X,1.47361,172,53,11672
Texas,2012,45,X,3.20738,1314,65,40968
Utah,2012,45,X,1.68754,291,44,17244
Vermont,2012,45,X,1.03469,34,11,3286
Virginia,2012,45,X,1.5578,1047,97,67210
Washington,2012,45,X,0.793966,60,18,7557
West Virginia,2012,45,X,0.484779,68,32,14027
Wisconsin,2012,45,X,0.408954,19,35,4646
Wyoming,2012,45,X,0.623747,28,25,4489
Virgin Islands,2012,45,X,0,0,1,494
New York City,2012,45,X,1.59117,1438,83,90374
Alabama,2012,46,X,3.00274,482,35,16052
Alaska,2012,46,X,1.03704,21,8,2025
Arizona,2012,46,X,1.24527,224,32,17988
Arkansas,2012,46,X,0.558988,19,20,3399
California,2012,46,X,2.51209,857,123,34115
Colorado,2012,46,X,0.748448,164,11,21912
Connecticut,2012,46,X,0.752014,42,21,5585
Delaware,2012,46,X,0.485909,15,10,3087
District of Columbia,2012,46,X,4.64865,86,2,1850
Florida,2012,46,X,X,X,X,X
Georgia,2012,46,X,2.44775,787,48,32152
Hawaii,2012,46,X,1.48123,174,21,11747
Idaho,2012,46,X,2.19938,107,10,4865
Illinois,2012,46,X,1.99806,885,84,44293
Indiana,2012,46,X,0.736934,76,40,10313
Iowa,2012,46,X,1.29817,32,15,2465
Kansas,2012,46,X,0.907441,75,37,8265
Kentucky,2012,46,X,0.099955,20,14,20009
Louisiana,2012,46,X,4.22369,1108,38,26233
Maine,2012,46,X,0.941248,62,35,6587
Maryland,2012,46,X,0.969659,93,16,9591
Massachusetts,2012,46,X,0.796016,219,51,27512
Michigan,2012,46,X,1.33071,210,58,15781
Minnesota,2012,46,X,0.61894,30,14,4847
Mississippi,2012,46,X,6.50728,822,42,12632
Missouri,2012,46,X,2.45792,203,27,8259
Montana,2012,46,X,0.15829,4,9,2527
Nebraska,2012,46,X,3.09826,105,15,3389
Nevada,2012,46,X,0.735592,109,35,14818
New Hampshire,2012,46,X,0.136612,6,28,4392
New Jersey,2012,46,X,1.39585,103,20,7379
New Mexico,2012,46,X,2.08405,181,25,8685
New York,2012,46,X,0.991707,171,211,17243
North Carolina,2012,46,X,1.48495,295,64,19866
North Dakota,2012,46,X,1.48903,19,10,1276
Ohio,2012,46,X,0.971335,143,46,14722
Oklahoma,2012,46,X,1.68627,43,14,2550
Oregon,2012,46,X,0.440044,16,16,3636
Pennsylvania,2012,46,X,1.20353,236,61,19609
Rhode Island,2012,46,X,0.158914,11,20,6922
South Carolina,2012,46,X,0.517197,40,18,7734
South Dakota,2012,46,X,1.02297,53,19,5181
Tennessee,2012,46,X,1.87212,183,50,9775
Texas,2012,46,X,3.22458,1269,61,39354
Utah,2012,46,X,1.84277,323,45,17528
Vermont,2012,46,X,0.983021,33,11,3357
Virginia,2012,46,X,1.75717,1227,96,69828
Washington,2012,46,X,1.21024,86,20,7106
West Virginia,2012,46,X,0.358075,48,32,13405
Wisconsin,2012,46,X,0.838926,40,34,4768
Wyoming,2012,46,X,0.409748,19,25,4637
Virgin Islands,2012,46,X,0.218341,1,1,458
New York City,2012,46,X,1.69433,1627,85,96026
Alabama,2012,47,X,5.24099,647,33,12345
Alaska,2012,47,X,1.66667,38,9,2280
Arizona,2012,47,X,1.30998,193,32,14733
Arkansas,2012,47,X,1.09307,35,21,3202
California,2012,47,X,2.73042,639,123,23403
Colorado,2012,47,X,0.88736,147,10,16566
Connecticut,2012,47,X,0.817439,21,22,2569
Delaware,2012,47,X,0.905524,30,12,3313
District of Columbia,2012,47,X,6.81606,73,2,1071
Florida,2012,47,X,X,X,X,X
Georgia,2012,47,X,3.24457,781,48,24071
Hawaii,2012,47,X,1.96122,178,19,9076
Idaho,2012,47,X,2.54892,99,11,3884
Illinois,2012,47,X,2.32818,853,84,36638
Indiana,2012,47,X,1.02361,75,41,7327
Iowa,2012,47,X,1.23153,20,15,1624
Kansas,2012,47,X,1.03242,64,37,6199
Kentucky,2012,47,X,0.285898,49,16,17139
Louisiana,2012,47,X,5.20172,1163,33,22358
Maine,2012,47,X,0.865344,41,36,4738
Maryland,2012,47,X,1.89411,127,17,6705
Massachusetts,2012,47,X,1.04441,218,49,20873
Michigan,2012,47,X,1.45055,182,58,12547
Minnesota,2012,47,X,1.05714,37,13,3500
Mississippi,2012,47,X,8.56248,1093,42,12765
Missouri,2012,47,X,3.53357,210,28,5943
Montana,2012,47,X,0.426743,9,9,2109
Nebraska,2012,47,X,2.12982,63,16,2958
Nevada,2012,47,X,0.757751,98,35,12933
New Hampshire,2012,47,X,0.191571,6,27,3132
New Jersey,2012,47,X,1.36441,72,18,5277
New Mexico,2012,47,X,2.26524,165,26,7284
New York,2012,47,X,1.70477,176,209,10324
North Carolina,2012,47,X,1.79899,242,64,13452
North Dakota,2012,47,X,1.81818,14,7,770
Ohio,2012,47,X,1.6437,167,43,10160
Oklahoma,2012,47,X,1.95848,50,18,2553
Oregon,2012,47,X,0.366151,9,16,2458
Pennsylvania,2012,47,X,1.46221,208,65,14225
Rhode Island,2012,47,X,0.31348,14,20,4466
South Carolina,2012,47,X,1.09422,54,18,4935
South Dakota,2012,47,X,1.14613,48,19,4188
Tennessee,2012,47,X,4.44269,338,56,7608
Texas,2012,47,X,5.1617,1644,63,31850
Utah,2012,47,X,2.82368,405,41,14343
Vermont,2012,47,X,1.13895,25,11,2195
Virginia,2012,47,X,2.08133,1425,98,68466
Washington,2012,47,X,1.23484,56,19,4535
West Virginia,2012,47,X,0.488446,52,32,10646
Wisconsin,2012,47,X,1.01373,31,36,3058
Wyoming,2012,47,X,0.895615,29,26,3238
Virgin Islands,2012,47,X,0.4329,2,1,462
New York City,2012,47,X,2.1401,1900,81,88781
Alabama,2012,48,X,5.29602,916,35,17296
Alaska,2012,48,X,1.52439,35,9,2296
Arizona,2012,48,X,1.0837,217,32,20024
Arkansas,2012,48,X,1.45013,74,23,5103
California,2012,48,X,2.56313,946,129,36908
Colorado,2012,48,X,1.01563,230,11,22646
Connecticut,2012,48,X,0.899965,52,25,5778
Delaware,2012,48,X,0.837258,32,11,3822
District of Columbia,2012,48,X,6.44302,121,2,1878
Florida,2012,48,X,X,X,X,X
Georgia,2012,48,X,3.26126,1086,48,33300
Hawaii,2012,48,X,1.37343,190,18,13834
Idaho,2012,48,X,2.01177,106,11,5269
Illinois,2012,48,X,2.39121,1116,87,46671
Indiana,2012,48,X,1.47923,151,41,10208
Iowa,2012,48,X,0.621891,30,16,4824
Kansas,2012,48,X,1.22207,99,36,8101
Kentucky,2012,48,X,0.333945,71,15,21261
Louisiana,2012,48,X,4.95046,1444,43,29169
Maine,2012,48,X,1.00782,67,34,6648
Maryland,2012,48,X,1.09847,113,16,10287
Massachusetts,2012,48,X,1.01617,301,53,29621
Michigan,2012,48,X,1.24331,216,58,17373
Minnesota,2012,48,X,0.966879,47,13,4861
Mississippi,2012,48,X,6.95423,977,42,14049
Missouri,2012,48,X,3.07673,251,28,8158
Montana,2012,48,X,0.101317,3,9,2961
Nebraska,2012,48,X,3.26223,130,16,3985
Nevada,2012,48,X,0.868032,128,35,14746
New Hampshire,2012,48,X,0.356415,14,25,3928
New Jersey,2012,48,X,2.2386,161,18,7192
New Mexico,2012,48,X,2.07682,186,26,8956
New York,2012,48,X,1.67709,260,210,15503
North Carolina,2012,48,X,2.1853,459,61,21004
North Dakota,2012,48,X,0.875796,11,10,1256
Ohio,2012,48,X,1.6207,275,48,16968
Oklahoma,2012,48,X,2.77162,125,19,4510
Oregon,2012,48,X,0.421257,13,14,3086
Pennsylvania,2012,48,X,1.42684,282,62,19764
Rhode Island,2012,48,X,0.424328,30,20,7070
South Carolina,2012,48,X,2.09501,172,20,8210
South Dakota,2012,48,X,1.20015,65,19,5416
Tennessee,2012,48,X,3.13324,416,60,13277
Texas,2012,48,X,3.96355,1692,63,42689
Utah,2012,48,X,2.46774,480,45,19451
Vermont,2012,48,X,1.30719,52,12,3978
Virginia,2012,48,X,2.25777,1643,98,72771
Washington,2012,48,X,0.970748,75,19,7726
West Virginia,2012,48,X,0.606314,87,34,14349
Wisconsin,2012,48,X,0.663183,33,38,4976
Wyoming,2012,48,X,1.37893,75,27,5439
Virgin Islands,2012,48,X,0.808081,4,1,495
New York City,2012,48,X,2.33752,2367,84,101261
Alabama,2012,49,X,8.76414,1480,33,16887
Alaska,2012,49,X,1.49953,32,9,2134
Arizona,2012,49,X,1.39933,281,35,20081
Arkansas,2012,49,X,1.74494,94,23,5387
California,2012,49,X,2.45937,905,128,36798
Colorado,2012,49,X,1.41383,300,11,21219
Connecticut,2012,49,X,1.05111,51,18,4852
Delaware,2012,49,X,1.45421,47,10,3232
District of Columbia,2012,49,X,6.32514,121,2,1913
Florida,2012,49,X,X,X,X,X
Georgia,2012,49,X,4.1396,1338,46,32322
Hawaii,2012,49,X,1.59971,221,20,13815
Idaho,2012,49,X,1.86216,97,11,5209
Illinois,2012,49,X,3.22268,1529,85,47445
Indiana,2012,49,X,2.41508,246,40,10186
Iowa,2012,49,X,1.01046,57,17,5641
Kansas,2012,49,X,2.35123,194,37,8251
Kentucky,2012,49,X,0.586242,109,14,18593
Louisiana,2012,49,X,5.5426,1759,48,31736
Maine,2012,49,X,0.758035,50,35,6596
Maryland,2012,49,X,3.00338,169,16,5627
Massachusetts,2012,49,X,1.61812,480,54,29664
Michigan,2012,49,X,1.45087,224,55,15439
Minnesota,2012,49,X,0.953961,46,13,4822
Mississippi,2012,49,X,8.21743,1483,44,18047
Missouri,2012,49,X,2.97351,238,28,8004
Montana,2012,49,X,0.186986,5,8,2674
Nebraska,2012,49,X,2.2716,92,16,4050
Nevada,2012,49,X,0.691995,102,32,14740
New Hampshire,2012,49,X,0.406091,20,28,4925
New Jersey,2012,49,X,2.2145,172,20,7767
New Mexico,2012,49,X,1.87514,170,26,9066
New York,2012,49,X,2.11123,380,211,17999
North Carolina,2012,49,X,5.13223,1242,68,24200
North Dakota,2012,49,X,1.14449,16,10,1398
Ohio,2012,49,X,2.27431,359,45,15785
Oklahoma,2012,49,X,3.04892,134,18,4395
Oregon,2012,49,X,1.07246,37,16,3450
Pennsylvania,2012,49,X,2.06708,424,61,20512
Rhode Island,2012,49,X,1.1959,84,20,7024
South Carolina,2012,49,X,4.22179,351,20,8314
South Dakota,2012,49,X,1.28948,69,19,5351
Tennessee,2012,49,X,5.42548,716,58,13197
Texas,2012,49,X,5.21819,2229,64,42716
Utah,2012,49,X,2.75824,494,44,17910
Vermont,2012,49,X,1.30946,49,12,3742
Virginia,2012,49,X,2.9019,2225,100,76674
Washington,2012,49,X,0.98488,71,19,7209
West Virginia,2012,49,X,1.56973,224,35,14270
Wisconsin,2012,49,X,1.41519,68,37,4805
Wyoming,2012,49,X,2.72908,137,26,5020
Virgin Islands,2012,49,X,0.455581,2,1,439
New York City,2012,49,X,2.85764,2939,79,102847
Alabama,2012,50,X,9.77209,1595,32,16322
Alaska,2012,50,X,2.81818,62,9,2200
Arizona,2012,50,X,1.72026,344,35,19997
Arkansas,2012,50,X,2.8537,142,23,4976
California,2012,50,X,2.70899,920,126,33961
Colorado,2012,50,X,1.86206,402,10,21589
Connecticut,2012,50,X,1.15199,62,24,5382
Delaware,2012,50,X,2.05458,67,10,3261
District of Columbia,2012,50,X,8.11623,162,2,1996
Florida,2012,50,X,X,X,X,X
Georgia,2012,50,X,4.74738,1416,46,29827
Hawaii,2012,50,X,1.86986,248,20,13263
Idaho,2012,50,X,2.09696,109,11,5198
Illinois,2012,50,X,4.239,1995,89,47063
Indiana,2012,50,X,4.45092,458,40,10290
Iowa,2012,50,X,1.58146,86,17,5438
Kansas,2012,50,X,2.59691,205,37,7894
Kentucky,2012,50,X,0.687302,141,14,20515
Louisiana,2012,50,X,6.95104,2138,48,30758
Maine,2012,50,X,1.36778,90,35,6580
Maryland,2012,50,X,2.74794,220,14,8006
Massachusetts,2012,50,X,2.06913,622,52,30061
Michigan,2012,50,X,1.8124,302,55,16663
Minnesota,2012,50,X,1.78823,89,14,4977
Mississippi,2012,50,X,8.64163,1537,44,17786
Missouri,2012,50,X,3.49486,282,28,8069
Montana,2012,50,X,0.18315,5,7,2730
Nebraska,2012,50,X,2.82964,97,14,3428
Nevada,2012,50,X,1.0532,155,34,14717
New Hampshire,2012,50,X,0.81172,41,28,5051
New Jersey,2012,50,X,2.15569,126,19,5845
New Mexico,2012,50,X,2.5545,225,26,8808
New York,2012,50,X,3.03139,506,212,16692
North Carolina,2012,50,X,6.34693,1285,65,20246
North Dakota,2012,50,X,1.58465,19,8,1199
Ohio,2012,50,X,2.99779,475,44,15845
Oklahoma,2012,50,X,4.37184,190,19,4346
Oregon,2012,50,X,1.80769,47,16,2600
Pennsylvania,2012,50,X,3.22581,566,57,17546
Rhode Island,2012,50,X,2.23984,161,20,7188
South Carolina,2012,50,X,3.56573,268,17,7516
South Dakota,2012,50,X,1.27857,66,19,5162
Tennessee,2012,50,X,6.05845,597,54,9854
Texas,2012,50,X,6.03698,2524,64,41809
Utah,2012,50,X,4.66899,603,32,12915
Vermont,2012,50,X,2.59634,95,12,3659
Virginia,2012,50,X,4.04577,3087,100,76302
Washington,2012,50,X,1.15527,100,21,8656
West Virginia,2012,50,X,2.40738,360,35,14954
Wisconsin,2012,50,X,1.46168,70,38,4789
Wyoming,2012,50,X,2.98924,150,26,5018
Virgin Islands,2012,50,X,0.689655,3,1,435
New York City,2012,50,X,3.29368,3411,77,103562
Alabama,2012,51,X,10.3316,1508,29,14596
Alaska,2012,51,X,2.21687,46,9,2075
Arizona,2012,51,X,2.05506,424,34,20632
Arkansas,2012,51,X,5.52285,197,22,3567
California,2012,51,X,3.37338,1025,117,30385
Colorado,2012,51,X,2.63295,556,10,21117
Connecticut,2012,51,X,2.09529,73,22,3484
Delaware,2012,51,X,2.38636,84,10,3520
District of Columbia,2012,51,X,8.49941,145,2,1706
Florida,2012,51,X,X,X,X,X
Georgia,2012,51,X,5.03625,1320,46,26210
Hawaii,2012,51,X,1.87202,232,18,12393
Idaho,2012,51,X,2.97389,131,10,4405
Illinois,2012,51,X,5.07826,2271,85,44720
Indiana,2012,51,X,5.22257,474,41,9076
Iowa,2012,51,X,1.69803,37,16,2179
Kansas,2012,51,X,3.44278,259,39,7523
Kentucky,2012,51,X,0.744786,150,15,20140
Louisiana,2012,51,X,7.91033,2096,39,26497
Maine,2012,51,X,2.18264,136,36,6231
Maryland,2012,51,X,3.83902,331,12,8622
Massachusetts,2012,51,X,3.07478,907,50,29498
Michigan,2012,51,X,2.94965,379,50,12849
Minnesota,2012,51,X,3.05277,140,14,4586
Mississippi,2012,51,X,13.2534,1647,42,12427
Missouri,2012,51,X,4.7619,309,24,6489
Montana,2012,51,X,1.22505,27,7,2204
Nebraska,2012,51,X,6.81524,263,15,3859
